date,type,location,estimated_cost
2025-01-23 15:46:34.451528,Light,Shop-1,15000000.0
2025-11-26 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-08-06 15:46:34.451528,Micro,NPS-4,1500000.0
2024-05-03 15:46:34.451528,Heavy,Warehouse,45000000.0
2025-08-18 15:46:34.451528,Micro,Drilling,1500000.0
2025-05-30 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-04-08 15:46:34.451528,Micro,Warehouse,1500000.0
2025-09-13 15:46:34.451528,Micro,Shop-1,1500000.0
2025-01-09 15:46:34.451528,Light,Shop-1,15000000.0
2025-03-12 15:46:34.451528,Light,NPS-4,15000000.0
2024-06-02 15:46:34.451528,Light,Warehouse,15000000.0
2024-10-13 15:46:34.451528,Micro,NPS-4,1500000.0
2025-11-08 15:46:34.451528,Heavy,NPS-4,45000000.0
2024-09-23 15:46:34.451528,Heavy,NPS-4,45000000.0
2024-11-28 15:46:34.451528,Micro,Shop-1,1500000.0
2024-05-17 15:46:34.451528,Heavy,Drilling,45000000.0
2025-08-23 15:46:34.451528,Heavy,Warehouse,45000000.0
2025-02-06 15:46:34.451528,Heavy,NPS-4,45000000.0
2024-09-24 15:46:34.451528,Micro,NPS-4,1500000.0
2025-08-12 15:46:34.451528,Light,NPS-4,15000000.0
2025-04-24 15:46:34.451528,Light,Shop-1,15000000.0
2025-02-07 15:46:34.451528,Micro,Drilling,1500000.0
2024-11-07 15:46:34.451528,Micro,Warehouse,1500000.0
2025-08-25 15:46:34.451528,Heavy,Shop-1,45000000.0
2025-03-17 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-03-22 15:46:34.451528,Light,NPS-4,15000000.0
2024-04-05 15:46:34.451528,Light,Shop-1,15000000.0
2025-11-19 15:46:34.451528,Heavy,Warehouse,45000000.0
2025-08-24 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-09-25 15:46:34.451528,Light,Shop-1,15000000.0
2025-02-23 15:46:34.451528,Micro,NPS-4,1500000.0
2024-03-20 15:46:34.451528,Light,Warehouse,15000000.0
2024-09-26 15:46:34.451528,Heavy,NPS-4,45000000.0
2025-08-06 15:46:34.451528,Light,NPS-4,15000000.0
2025-01-08 15:46:34.451528,Light,NPS-4,15000000.0
2024-09-05 15:46:34.451528,Micro,Shop-1,1500000.0
2025-05-05 15:46:34.451528,Micro,Shop-1,1500000.0
2026-01-23 15:46:34.451528,Light,NPS-4,15000000.0
2024-05-26 15:46:34.451528,Light,Drilling,15000000.0
2024-03-21 15:46:34.451528,Micro,NPS-4,1500000.0
2025-04-26 15:46:34.451528,Micro,Drilling,1500000.0
2024-11-23 15:46:34.451528,Heavy,NPS-4,45000000.0
2025-03-14 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-06-15 15:46:34.451528,Heavy,Drilling,45000000.0
2025-10-09 15:46:34.451528,Micro,Shop-1,1500000.0
2024-05-08 15:46:34.451528,Light,NPS-4,15000000.0
2025-05-02 15:46:34.451528,Heavy,Drilling,45000000.0
2025-05-07 15:46:34.451528,Heavy,NPS-4,45000000.0
2024-12-28 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-04-18 15:46:34.451528,Light,Shop-1,15000000.0
2025-04-23 15:46:34.451528,Light,Warehouse,15000000.0
2024-08-09 15:46:34.451528,Heavy,Shop-1,45000000.0
2026-01-04 15:46:34.451528,Micro,Shop-1,1500000.0
2024-03-16 15:46:34.451528,Micro,Drilling,1500000.0
2024-09-05 15:46:34.451528,Micro,Shop-1,1500000.0
2025-07-02 15:46:34.451528,Light,NPS-4,15000000.0
2026-01-08 15:46:34.451528,Light,Warehouse,15000000.0
2024-08-27 15:46:34.451528,Heavy,Warehouse,45000000.0
2024-10-13 15:46:34.451528,Micro,Warehouse,1500000.0
2025-07-27 15:46:34.451528,Heavy,Shop-1,45000000.0
2025-02-12 15:46:34.451528,Light,Warehouse,15000000.0
2024-12-23 15:46:34.451528,Heavy,Drilling,45000000.0
2025-07-13 15:46:34.451528,Heavy,Shop-1,45000000.0
2025-07-03 15:46:34.451528,Heavy,Drilling,45000000.0
2025-11-22 15:46:34.451528,Light,Drilling,15000000.0
2025-01-14 15:46:34.451528,Micro,NPS-4,1500000.0
2024-08-10 15:46:34.451528,Micro,NPS-4,1500000.0
2026-01-30 15:46:34.451528,Micro,Drilling,1500000.0
2025-10-05 15:46:34.451528,Heavy,Shop-1,45000000.0
